,question,answer
1605,ĐAN SÂM được sản xuất từ sinh vật nào,"MATCH (o:ORGANISM)-[:PRODUCED_BY]->(d:DRUG) WHERE toLower(d.id) CONTAINS ""đan sâm"" RETURN o.id"
1606,Phương pháp Định tính yêu cầu hóa chất nào?,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""định tính"" RETURN c.id"
1607,Đạm trúc diệp điều trị bệnh gì,"MATCH (d:DRUG)-[:TREATS]->(dis:DISEASE) WHERE toLower(d.id) CONTAINS ""đạm trúc diệp"" RETURN dis.id"
1608,Đạm trúc diệp được chế biến bằng phương pháp nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""đạm trúc diệp"" RETURN p.id"
1609,Đạm trúc diệp được bảo quản ở điều kiện nào,"MATCH (d:DRUG)-[:STORED_AT]->(s:STORAGE_CONDITION) WHERE toLower(d.id) CONTAINS ""đạm trúc diệp"" RETURN s.id"
1610,Đạm trúc diệp được sản xuất bởi vi sinh vật nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(o:ORGANISM) WHERE toLower(d.id) CONTAINS ""đạm trúc diệp"" RETURN o.id"
1611,Tiêu chuẩn chất chiết được trong ethanol được kiểm nghiệm bằng phương pháp nào?,"MATCH (s:STANDARD)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(s.id) CONTAINS ""chất chiết được trong ethanol"" RETURN t.id"
1612,Tiêu chuẩn tro không tan trong acid được kiểm nghiệm bằng phương pháp nào?,"MATCH (s:STANDARD)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(s.id) CONTAINS ""tro không tan trong acid"" RETURN t.id"
1613,Tiêu chuẩn tro toàn phần được kiểm nghiệm bằng phương pháp nào,"MATCH (s:STANDARD)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(s.id) CONTAINS ""tro toàn phần"" RETURN t.id"
1614,Tiêu chuẩn độ ẩm được kiểm nghiệm bằng phương pháp nào,"MATCH (s:STANDARD)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(s.id) CONTAINS ""độ ẩm"" RETURN t.id"
1615,Tiêu chuẩn tạp chất được kiểm nghiệm bằng phương pháp nào,"MATCH (s:STANDARD)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(s.id) CONTAINS ""tạp chất"" RETURN t.id"
1616,Đạm trúc diệp có tiêu chuẩn nào về chất chiết được trong nước,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""đạm trúc diệp"" AND toLower(s.id) CONTAINS ""chất chiết được trong nước"" RETURN s.id"
1617,Đạm trúc diệp có tiêu chuẩn nào về tro không tan trong acid,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""đạm trúc diệp"" AND toLower(s.id) CONTAINS ""tro không tan trong acid"" RETURN s.id"
1618,Đạm trúc diệp có tiêu chuẩn nào về chất chiết được trong ethanol?,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""đạm trúc diệp"" AND toLower(s.id) CONTAINS ""chất chiết được trong ethanol"" RETURN s.id"
1619,Đạm trúc diệp có tiêu chuẩn nào về tro toàn phần?,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""đạm trúc diệp"" AND toLower(s.id) CONTAINS ""tro toàn phần"" RETURN s.id"
1620,Đạm trúc diệp có tiêu chuẩn nào về tạp chất,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""đạm trúc diệp"" AND toLower(s.id) CONTAINS ""tạp chất"" RETURN s.id"
1621,Đạm trúc diệp có tiêu chuẩn nào về độ ẩm?,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""đạm trúc diệp"" AND toLower(s.id) CONTAINS ""độ ẩm"" RETURN s.id"
1622,Phương pháp chiết lạnh yêu cầu hóa chất nào,"MATCH (tm:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(tm.id) CONTAINS ""phương pháp chiết lạnh"" RETURN c.id"
1623,Tanshinon IIA có chỉ số kỹ thuật nào?,"MATCH (c:CHEMICAL)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(c.id) CONTAINS ""tanshinon iia"" RETURN s.id"
1624,Phương pháp chiết nóng yêu cầu hóa chất nào,"MATCH (p:PRODUCTION_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(p.id) CONTAINS ""chiết nóng"" RETURN c.id"
1625,Acid salvianolic B có chỉ số kỹ thuật nào,"MATCH (c:CHEMICAL)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(c.id) CONTAINS ""acid salvianolic b"" RETURN s.id"
1626,Phương pháp sắc ký yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""sắc ký"" RETURN c.id"
1627,Đạm trúc diệp được kiểm nghiệm bằng phương pháp nào,"MATCH (d:DRUG)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""đạm trúc diệp"" RETURN t.id"
1628,Đan sâm có chỉ số kỹ thuật nào?,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""đan sâm"" RETURN s.id"
1629,ĐẠI PHÙ BÌNH được sản xuất bởi vi sinh vật nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(o:ORGANISM) WHERE toLower(d.id) CONTAINS ""đại phù bình"" RETURN o.id"
1630,Phương pháp Độ ẩm có chỉ số kỹ thuật nào,"MATCH (t:TEST_METHOD)<-[:TESTED_BY]-(d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(t.id) CONTAINS ""độ ẩm"" RETURN s.id"
1631,Đại táo tác động lên cơ quan nào,"MATCH (d:DRUG)-[:TREATS]->(dis:DISEASE) WHERE toLower(d.id) CONTAINS ""đại táo"" RETURN dis.id"
1632,Phương pháp sắc ký lớp mỏng yêu cầu dược liệu nào,"MATCH (d:DRUG)-[:REQUIRES]->(t:TEST_METHOD) WHERE toLower(t.id) CONTAINS ""sắc ký lớp mỏng"" RETURN d.id"
1633,Phương pháp sắc ký lớp mỏng yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
1634,Đạm trúc diệp được sản xuất bằng phương pháp nào?,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""đạm trúc diệp"" RETURN p.id"
1635,Đại táo điều trị bệnh lý nào,"MATCH (d:DRUG)-[:TREATS]->(dis:DISEASE) WHERE toLower(d.id) CONTAINS ""đại táo"" RETURN dis.id"
1636,Đại táo được bảo quản tại điều kiện môi trường nào,"MATCH (d:DRUG)-[:STORED_AT]->(s:STORAGE_CONDITION) WHERE toLower(d.id) CONTAINS ""đại táo"" RETURN s.id"
1637,Đại táo được sản xuất bằng phương pháp nào?,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""đại táo"" RETURN p.id"
1638,Đại táo có chỉ số kỹ thuật nào,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""đại táo"" RETURN s.id"
1639,Phương pháp định tính yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""định tính"" RETURN c.id"
1640,Phương pháp sắc ký lớp mỏng yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
1641,Phương pháp Định lượng tinh dầu trong dược liệu có chỉ số kỹ thuật nào,"MATCH (d:DRUG)-[:TESTED_BY]->(tm:TEST_METHOD), (d)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(tm.id) CONTAINS ""định lượng tinh dầu trong dược liệu"" RETURN s.id"
1642,Đại táo được kiểm nghiệm bằng phương pháp nào?,"MATCH (d:DRUG)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""đại táo"" RETURN t.id"
1643,Phương pháp Chế biến yêu cầu hóa chất nào,"MATCH (p:PRODUCTION_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(p.id) CONTAINS ""chế biến"" RETURN c.id"
1644,Phương pháp Chế biến có chỉ số kỹ thuật nào,MATCH (p:PRODUCTION_METHOD)<-[:PRODUCED_BY]-(d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) RETURN s.id
1645,ĐẠI PHÙ BÌNH được sản xuất bằng phương pháp nào?,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""đại phù bình"" RETURN p.id"
1646,Phương pháp Sắc ký lớp mỏng có chỉ số kỹ thuật nào,"MATCH (tm:TEST_METHOD)<-[:TESTED_BY]-(d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(tm.id) CONTAINS ""sắc ký lớp mỏng"" RETURN s.id"
1647,Phương pháp Tro toàn phần có chỉ số kỹ thuật nào,"MATCH (t:TEST_METHOD)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(t.id) CONTAINS ""tro toàn phần"" RETURN s.id"
1648,Phương pháp Định lượng tinh dầu trong dược liệu yêu cầu hóa chất nào?,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""định lượng tinh dầu"" RETURN c.id"
1649,Phương pháp Định tính yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""định tính"" RETURN c.id"
1650,Phương pháp Sắc ký lớp mỏng yêu cầu hóa chất nào?,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
1651,ĐẠI PHÙ BÌNH được bảo quản ở điều kiện nào?,"MATCH (d:DRUG)-[:STORED_AT]->(s:STORAGE_CONDITION) WHERE toLower(d.id) CONTAINS ""đại phù bình"" RETURN s.id"
1652,Phương pháp Sắc ký lớp mỏng yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
1653,ĐẠI PHÙ BÌNH chủ trị bệnh nào,"MATCH (d:DRUG)-[:TREATS]->(dis:DISEASE) WHERE toLower(d.id) CONTAINS ""đại phù bình"" RETURN dis.id"
1654,ĐẠI TÁO được kiểm nghiệm bằng phương pháp nào,"MATCH (d:DRUG)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""đại táo"" RETURN t.id"
1655,Phương pháp Phụ lục 9.4.8 phương pháp 3 yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""phụ lục 9.4.8 phương pháp 3"" RETURN c.id"
1656,ĐẠI PHÙ BÌNH được sản xuất bằng phương pháp nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""đại phù bình"" RETURN p.id"
1657,Chỉ số kỹ thuật Độ ẩm được kiểm nghiệm bằng phương pháp nào?,"MATCH (s:STANDARD)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(s.id) CONTAINS ""độ ẩm"" RETURN t.id"
1658,Chỉ số kỹ thuật Tro toàn phần được kiểm nghiệm bằng phương pháp nào,"MATCH (s:STANDARD)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(s.id) CONTAINS ""tro toàn phần"" RETURN t.id"
1659,Chỉ số kỹ thuật Kim loại nặng được kiểm nghiệm bằng phương pháp nào,"MATCH (s:STANDARD)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(s.id) CONTAINS ""kim loại nặng"" RETURN t.id"
1660,Thục đại hoàng điều trị bệnh nào,"MATCH (d:DRUG)-[:TREATS]->(dis:DISEASE) WHERE toLower(d.id) CONTAINS ""thục đại hoàng"" RETURN dis.id"
1661,ĐẠI PHÙ BÌNH có chỉ số kỹ thuật nào,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""đại phù bình"" RETURN s.id"
1662,Phương pháp sắc ký lỏng (Phụ lục 5.3) có những tiêu chuẩn nào?,"MATCH (tm:TEST_METHOD)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(tm.id) CONTAINS ""sắc ký lỏng"" RETURN s.id"
1663,ĐẠI HỒI được sản xuất bằng phương pháp nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""đại hồi"" RETURN p.id"
1664,Phương pháp sắc ký lớp mỏng yêu cầu dược liệu nào?,"MATCH (d:DRUG)-[:REQUIRES]->(t:TEST_METHOD) WHERE toLower(t.id) CONTAINS ""sắc ký lớp mỏng"" RETURN d.id"
1665,Phương pháp sắc ký lớp mỏng yêu cầu hóa chất nào?,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
1666,Tửu Đại hoàng chứa thành phần nào,"MATCH (d:DRUG)-[:CONTAINS]->(c) WHERE toLower(d.id) CONTAINS ""tửu đại hoàng"" RETURN c.id"
1667,Đại hoàng thán điều trị bệnh nào?,"MATCH (d:DRUG)-[:TREATS]->(dis:DISEASE) WHERE toLower(d.id) CONTAINS ""đại hoàng thán"" RETURN dis.id"
1668,Tửu Đại hoàng điều trị bệnh nào,"MATCH (d:DRUG)-[:TREATS]->(dis:DISEASE) WHERE toLower(d.id) CONTAINS ""tửu đại hoàng"" RETURN dis.id"
1669,Đại hoàng được bảo quản tại điều kiện môi trường nào,"MATCH (d:DRUG)-[:STORED_AT]->(s:STORAGE_CONDITION) WHERE toLower(d.id) CONTAINS ""đại hoàng"" RETURN s.id"
1670,Đại hoàng điều trị bệnh nào,"MATCH (d:DRUG)-[:TREATS]->(dis:DISEASE) WHERE toLower(d.id) CONTAINS ""đại hoàng"" RETURN dis.id"
1671,Thục đại hoàng chứa thành phần nào?,"MATCH (d:DRUG)-[:CONTAINS]->(c:CHEMICAL) WHERE toLower(d.id) CONTAINS ""thục đại hoàng"" RETURN c.id"
1672,Đại hoàng thán được sản xuất bằng phương pháp nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""đại hoàng thán"" RETURN p.id"
1673,Thục đại hoàng được sản xuất bằng phương pháp nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""thục đại hoàng"" RETURN p.id"
1674,Physcion có chỉ số kỹ thuật nào,"MATCH (c:CHEMICAL)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(c.id) CONTAINS ""physcion"" RETURN s.id"
1675,Tửu Đại hoàng được sản xuất bằng phương pháp nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""tửu đại hoàng"" RETURN p.id"
1676,Đại hoàng được sản xuất bằng phương pháp nào?,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""đại hoàng"" RETURN p.id"
1677,Chrysophanol có chỉ số kỹ thuật nào?,"MATCH (c:CHEMICAL)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(c.id) CONTAINS ""chrysophanol"" RETURN s.id"
1678,Emodin có chỉ số kỹ thuật nào,"MATCH (c:CHEMICAL)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(c.id) CONTAINS ""emodin"" RETURN s.id"
1679,Pha tĩnh C18 có tiêu chuẩn nào?,"MATCH (c:CHEMICAL)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(c.id) CONTAINS ""pha tĩnh c18"" RETURN s.id"
1680,ĐẠI HỒI được sản xuất bởi vi sinh vật nào?,"MATCH (d:DRUG)-[:PRODUCED_BY]->(o:ORGANISM) WHERE toLower(d.id) CONTAINS ""đại hồi"" RETURN o.id"
1681,Rhein có chỉ số kỹ thuật nào?,"MATCH (c:CHEMICAL)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(c.id) CONTAINS ""rhein"" RETURN s.id"
1682,Aloe-emodin có chỉ số kỹ thuật nào,"MATCH (c:CHEMICAL)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(c.id) CONTAINS ""aloe-emodin"" RETURN s.id"
1683,Physcion có những tiêu chuẩn nồng độ nào,"MATCH (c:CHEMICAL)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(c.id) CONTAINS ""physcion"" RETURN s.id"
1684,Dược liệu được kiểm nghiệm bằng những phương pháp nào,"MATCH (d:DRUG)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""dược liệu"" RETURN t.id"
1685,Chrysophanol có những tiêu chuẩn nồng độ nào?,"MATCH (c:CHEMICAL)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(c.id) CONTAINS ""chrysophanol"" AND toLower(s.id) CONTAINS ""nồng độ"" RETURN s.id"
1686,Rhein có những tiêu chuẩn nồng độ nào?,"MATCH (c:CHEMICAL)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(c.id) CONTAINS ""rhein"" AND toLower(s.id) CONTAINS ""nồng độ"" RETURN s.id"
1687,Emodin có những tiêu chuẩn nồng độ nào,"MATCH (c:CHEMICAL)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(c.id) CONTAINS ""emodin"" AND toLower(s.id) CONTAINS ""nồng độ"" RETURN s.id"
1688,Aloe-emodin có những tiêu chuẩn nồng độ nào,"MATCH (c:CHEMICAL)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(c.id) CONTAINS ""aloe-emodin"" AND toLower(s.id) CONTAINS ""nồng độ"" RETURN s.id"
1689,Dược liệu có tiêu chuẩn nào?,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""dược liệu"" RETURN s.id"
1690,Phương pháp sắc ký lỏng (Phụ lục 5.3) yêu cầu những hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""sắc ký lỏng"" RETURN c.id"
1691,Phương pháp Tro toàn phần có tiêu chuẩn nào?,"MATCH (t:TEST_METHOD)<-[:TESTED_BY]-(d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(t.id) CONTAINS ""tro toàn phần"" RETURN s.id"
1692,Phương pháp chiết nóng (Phụ lục 12.10) yêu cầu hóa chất nào?,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""phương pháp chiết nóng (phụ lục 12.10)"" RETURN c.id"
1693,"Phương pháp A, Phụ lục 9.4.2 yêu cầu những hóa chất nào?","MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""phương pháp a, phụ lục 9.4.2"" RETURN c.id"
1694,Phương pháp sắc ký lớp mỏng có tiêu chuẩn nào?,"MATCH (tm:TEST_METHOD)<-[:TESTED_BY]-(d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(tm.id) CONTAINS ""sắc ký lớp mỏng"" RETURN s.id"
1695,ĐẠI HỒI chứa hóa chất nào,"MATCH (d:DRUG)-[:CONTAINS]->(c:CHEMICAL) WHERE toLower(d.id) CONTAINS ""đại hồi"" RETURN c.id"
1696,ĐẠI HỒI được kiểm nghiệm bằng phương pháp nào,"MATCH (d:DRUG)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""đại hồi"" RETURN t.id"
1697,Phương pháp Độ ẩm có tiêu chuẩn nào?,"MATCH (s:STANDARD)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(t.id) CONTAINS ""độ ẩm"" RETURN s.id"
1698,Dược liệu có tiêu chuẩn nào,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""đại hoàng"" RETURN s.id"
1699,Emodin có tiêu chuẩn nào,"MATCH (c:CHEMICAL)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(c.id) CONTAINS ""emodin"" RETURN s.id"
1700,Dược liệu được kiểm nghiệm bằng phương pháp nào?,"MATCH (d:DRUG)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""đại hoàng"" RETURN t.id"
1701,Phương pháp Tro không tan trong acid hydrocloric có tiêu chuẩn nào,"MATCH (t:TEST_METHOD)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(t.id) CONTAINS ""tro không tan trong acid hydrocloric"" RETURN s.id"
1702,Phương pháp Định tính yêu cầu hóa chất nào?,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""định tính"" RETURN c.id"
1703,Đại hoàng được kiểm nghiệm bằng phương pháp nào,"MATCH (d:DRUG)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""đại hoàng"" RETURN t.id"
1704,Phương pháp sắc ký lớp mỏng yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
1705,Hoa Đại được kiểm nghiệm bằng phương pháp nào,"MATCH (d:DRUG)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""hoa đại"" RETURN t.id"
1706,Phương pháp Định lượng Chất chiết được bằng n-hexan hoặc ether dầu hỏa yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""định lượng chất chiết được bằng n-hexan hoặc ether dầu hỏa"" RETURN c.id"
1707,Hoa Đại có tiêu chuẩn nào,"MATCH (d:DRUG)-[:HAS_STANDARD]->(s:STANDARD) WHERE toLower(d.id) CONTAINS ""hoa đại"" RETURN s.id"
1708,Phương pháp Định lượng Alcaloid toàn phần yêu cầu hóa chất nào?,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""định lượng alcaloid toàn phần"" RETURN c.id"
1709,Tạp chất được kiểm nghiệm bằng phương pháp nào,"MATCH (s:STANDARD)-[:TESTED_BY]->(tm:TEST_METHOD) WHERE toLower(s.id) CONTAINS ""tạp chất"" RETURN tm.id"
1710,Phương pháp sắc ký yêu cầu thuốc thử nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""sắc ký"" RETURN c.id"
1711,Phương pháp Định lượng yêu cầu hóa chất nào,"MATCH (p:PRODUCTION_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(p.id) CONTAINS ""định lượng"" RETURN c.id"
1712,Tro không tan trong acid được kiểm nghiệm bằng phương pháp nào,"MATCH (s:STANDARD)-[:TESTED_BY]->(t:TEST_METHOD) WHERE toLower(s.id) CONTAINS ""tro không tan trong acid"" RETURN t.id"
1713,Tro toàn phần được kiểm nghiệm bằng phương pháp nào,"MATCH (s:STANDARD)-[:TESTED_BY]->(tm:TEST_METHOD) WHERE toLower(s.id) CONTAINS ""tro toàn phần"" RETURN tm.id"
1714,Độ ẩm được kiểm nghiệm bằng phương pháp nào,"MATCH (s:STANDARD)-[:TESTED_BY]->(tm:TEST_METHOD) WHERE toLower(s.id) CONTAINS ""độ ẩm"" RETURN tm.id"
1715,Phương pháp sắc ký lớp mỏng yêu cầu hóa chất nào?,"MATCH (tm:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(tm.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
1716,Phương pháp sắc ký lớp mỏng yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
1717,Phương pháp Sắc ký lớp mỏng yêu cầu hóa chất nào?,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
1718,Phương pháp sắc ký lớp mỏng yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
1719,Phương pháp sắc ký lớp mỏng yêu cầu hóa chất nào?,"MATCH (tm:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(tm.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
1720,Phương pháp sắc ký lớp mỏng yêu cầu hóa chất nào?,"MATCH (tm:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(tm.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
1721,ĐẠI (Hoa) được sản xuất bằng phương pháp nào,"MATCH (d:DRUG)-[:PRODUCED_BY]->(p:PRODUCTION_METHOD) WHERE toLower(d.id) CONTAINS ""đại (hoa)"" RETURN p.id"
1722,Phương pháp sắc ký lớp mỏng yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
1723,Phương pháp sắc ký lớp mỏng yêu cầu hóa chất nào?,"MATCH (tm:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(tm.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
1724,Phương pháp sắc ký lớp mỏng yêu cầu hóa chất nào?,"MATCH (tm:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(tm.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
1725,Phương pháp sắc ký lớp mỏng yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
1726,Phương pháp sắc ký lớp mỏng yêu cầu hóa chất nào,"MATCH (t:TEST_METHOD)-[:REQUIRES]->(c:CHEMICAL) WHERE toLower(t.id) CONTAINS ""sắc ký lớp mỏng"" RETURN c.id"
1727,ĐẠI (Hoa) được kiểm nghiệm bằng phương pháp nào?,"MATCH (d:DRUG)-[:TESTED_BY]->(tm:TEST_METHOD) WHERE toLower(d.id) CONTAINS ""đại (hoa)"" RETURN tm.id"
